page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0240	TASAKI2020	000240	228	240	§8.1.1	content	complete	complete	dcf55b0e4f4178dc4d374e104a4b04c4cf139958
PG-TASAKI2020-0241	TASAKI2020	000241	229	241	§8.1.1	content	complete	complete	80cf80604a5457dbd7819e84e50ae24c79f2d8da
PG-TASAKI2020-0242	TASAKI2020	000242	230	242	§8.1.2	content	complete	complete	1bc0dd06fbe5cdff6d62e8074b2ddbb2b10103ea
PG-TASAKI2020-0243	TASAKI2020	000243	231	243	§8.1.2	content	complete	complete	bf0c4426d0cd80466161262809129219d16355d4
PG-TASAKI2020-0244	TASAKI2020	000244	232	244	§8.1.2	content	complete	complete	25e36234a4d5f53136fe94781fa28af780fe5f09
PG-TASAKI2020-0245	TASAKI2020	000245	233	245	§8.1.2	content	complete	complete	7d6a307ae90c9dfe6d9b7cc29295a186104bb786
PG-TASAKI2020-0246	TASAKI2020	000246	234	246	§8.1.2	content	complete	complete	0cad03c12334d36c297b493ff06cafcba563c324
PG-TASAKI2020-0247	TASAKI2020	000247	235	247	§8.1.3	content	complete	complete	de577973e4e9528b7e8060f1658bbdbabbeea5b8
PG-TASAKI2020-0248	TASAKI2020	000248	236	248	§8.1.3	content	complete	complete	12cd502b7d2de5b802c0f7e56ec682ebd858b123
PG-TASAKI2020-0249	TASAKI2020	000249	237	249	§8.1.3	content	complete	complete	db40b7ba9ac8c6d1eb9cd9137fdac41b8014c3ef
PG-TASAKI2020-0250	TASAKI2020	000250	238	250	§8.1.3	content	complete	complete	803757178623432698c66b5e8d3b2e6743784da1
PG-TASAKI2020-0251	TASAKI2020	000251	239	251	§8.2	content	complete	complete	ae4ec7dea5932e5e1ea5211e40aeb6402a010eb4
PG-TASAKI2020-0252	TASAKI2020	000252	240	252	§8.2.1	content	complete	complete	9fb30c5a0404920ca2f900f3538771c6f477f6e4
PG-TASAKI2020-0253	TASAKI2020	000253	241	253	§8.2.1	content	complete	complete	6978ad2ee2dc215b1ba8054dfb5cd01b7e492317
PG-TASAKI2020-0254	TASAKI2020	000254	242	254	§8.2.2	content	complete	complete	741d2893e2e103650bb0d92a6cdec176f897f621
PG-TASAKI2020-0255	TASAKI2020	000255	243	255	§8.2.2	content	complete	complete	628ffeb2c6ece8f866c7e5f266d1d95d753d1ad7
PG-TASAKI2020-0256	TASAKI2020	000256	244	256	§8.2.2	content	complete	complete	7b4e7bb4c18129a04e0b2136acc3483bbccba4cc
PG-TASAKI2020-0257	TASAKI2020	000257	245	257	§8.2.3	content	complete	complete	41e2605ed05cba1e0ee48a639b6a1c05a2c1df53
PG-TASAKI2020-0258	TASAKI2020	000258	246	258	§8.2.3	content	complete	complete	3637b1502b8496650c88d927eee7fae4f23ea08f
